Unnamed: 0,text,labels,tokens,corrected_tokens
2492,Jambo baya hata zaidi alimwaibisha mfanyakazi wake mbele ya majina mabaya sana ya watu,negative,"['jambo', 'baya', 'hata', 'zaidi', 'alimwaibisha', 'mfanyakazi', 'wake', 'mbele', 'ya', 'majina', 'mabaya', 'sana', 'ya', 'watu']","['jambo', 'baya', 'hata', 'zaidi', 'alimwaibisha', 'mfanyakazi', 'wake', 'mbele', 'ya', 'majina', 'mabaya', 'sana', 'ya', 'watu']"
2493,fungua chakula kikijaa sana,positive,"['fungua', 'chakula', 'kikijaa', 'sana']","['fungua', 'chakula', 'kikijaa', 'sana']"
2494,michezo yao ya kipekee ya kila siku sikuzote huchezwa na kikundi changu,positive,"['michezo', 'yao', 'ya', 'kipekee', 'ya', 'kila', 'siku', 'sikuzote', 'huchezwa', 'na', 'kikundi', 'changu']","['michezo', 'yao', 'ya', 'kipekee', 'ya', 'kila', 'siku', 'sikuzote', 'huchezwa', 'na', 'kikundi', 'changu']"
2495,"Kisha akaipa kisogo haki, na akatakabari.",negative,"['kisha', 'akaipa', 'kisogo', 'haki', 'na', 'akatakabari']","['kisha', 'akaipa', 'kisogo', 'haki', 'na', 'akatakabari']"
2496,Pia sufuria ilikuwa nzuri na kubwa sana kwa sababu hiyo,positive,"['pia', 'sufuria', 'ilikuwa', 'nzuri', 'na', 'kubwa', 'sana', 'kwa', 'sababu', 'hiyo']","['pia', 'sufuria', 'ilikuwa', 'nzuri', 'na', 'kubwa', 'sana', 'kwa', 'sababu', 'hiyo']"
2497,Hiyo ilikuwa mara yangu ya kwanza kuvua samaki na ilikuwa tamu sana,positive,"['hiyo', 'ilikuwa', 'mara', 'yangu', 'ya', 'kwanza', 'kuvua', 'samaki', 'na', 'ilikuwa', 'tamu', 'sana']","['hiyo', 'ilikuwa', 'mara', 'yangu', 'ya', 'kwanza', 'kuvua', 'samaki', 'na', 'ilikuwa', 'tamu', 'sana']"
2498,nyama yao kubwa ya kuku iliyokaangwa na mayai yake ndiyo ninayopenda wakati wote,positive,"['nyama', 'yao', 'kubwa', 'ya', 'kuku', 'iliyokaangwa', 'na', 'mayai', 'yake', 'ndiyo', 'ninayopenda', 'wakati', 'wote']","['nyama', 'yao', 'kubwa', 'ya', 'kuku', 'iliyokaangwa', 'na', 'mayai', 'yake', 'ndiyo', 'ninayopenda', 'wakati', 'wote']"
2499,Mhudumu wa kike alikuwa mwenye kupendeza na mwenye kuchekesha,positive,"['mhudumu', 'wa', 'kike', 'alikuwa', 'mwenye', 'kupendeza', 'na', 'mwenye', 'kuchekesha']","['mhudumu', 'wa', 'kike', 'alikuwa', 'mwenye', 'kupendeza', 'na', 'mwenye', 'kuchekesha']"
2500,Ilinibidi pia kuonja mama zangu aina mbalimbali za champu chancakes kwa siagi ya pecan na zilikuwa tamu ajabu,positive,"['ilinibidi', 'pia', 'kuonja', 'mama', 'zangu', 'aina', 'mbalimbali', 'za', 'champu', 'chancakes', 'kwa', 'siagi', 'ya', 'pecan', 'na', 'zilikuwa', 'tamu', 'ajabu']","['ilinibidi', 'pia', 'kuonja', 'mama', 'zangu', 'aina', 'mbalimbali', 'za', 'champu', 'chancakes', 'kwa', 'siagi', 'ya', 'pecan', 'na', 'zilikuwa', 'tamu', 'ajabu']"
2501,Laiti ungekula chakula cha shirika la ndege kwa uzito,negative,"['laiti', 'ungekula', 'chakula', 'cha', 'shirika', 'la', 'ndege', 'kwa', 'uzito']","['laiti', 'ungekula', 'chakula', 'cha', 'shirika', 'la', 'ndege', 'kwa', 'uzito']"
2502,Siwezi kusema mambo mazuri ya kutosha juu ya mahali hapa,positive,"['siwezi', 'kusema', 'mambo', 'mazuri', 'ya', 'kutosha', 'juu', 'ya', 'mahali', 'hapa']","['siwezi', 'kusema', 'mambo', 'mazuri', 'ya', 'kutosha', 'juu', 'ya', 'mahali', 'hapa']"
2503,Na nafsi zimewekewa machoni mwake tamaa na choyo.,positive,"['na', 'nafsi', 'zimewekewa', 'machoni', 'mwake', 'tamaa', 'na', 'choyo']","['na', 'nafsi', 'zimewekewa', 'machoni', 'mwake', 'tamaa', 'na', 'choyo']"
2504,mhudumu wa hoteli na meneja ni wenye urafiki sana,positive,"['mhudumu', 'wa', 'hoteli', 'na', 'meneja', 'ni', 'wenye', 'urafiki', 'sana']","['mhudumu', 'wa', 'hoteli', 'na', 'meneja', 'ni', 'wenye', 'urafiki', 'sana']"
2505,Singependekeza mahali hapa,negative,"['singependekeza', 'mahali', 'hapa']","['singependekeza', 'mahali', 'hapa']"
2506,Kwa ujumla nilivutiwa sana na noca,negative,"['kwa', 'ujumla', 'nilivutiwa', 'sana', 'na', 'noca']","['kwa', 'ujumla', 'nilivutiwa', 'sana', 'na', 'noca']"
2507,gyro yangu kwa msingi ilikuwa letusi pekee,negative,"['gyro', 'yangu', 'kwa', 'msingi', 'ilikuwa', 'letusi', 'pekee']","['gyro', 'yangu', 'kwa', 'msingi', 'ilikuwa', 'letusi', 'pekee']"
2508,Utumishi mbaya sana,negative,"['utumishi', 'mbaya', 'sana']","['utumishi', 'mbaya', 'sana']"
2509,Alivunjika moyo kabisa,negative,"['alivunjika', 'moyo', 'kabisa']","['alivunjika', 'moyo', 'kabisa']"
2510,Sijali kila aina ya tambi lakini naipenda mkono uliotengenezewa nyumbani ulitengeneza tambi na piza nyembamba hapa,positive,"['sijali', 'kila', 'aina', 'ya', 'tambi', 'lakini', 'naipenda', 'mkono', 'uliotengenezewa', 'nyumbani', 'ulitengeneza', 'tambi', 'na', 'piza', 'nyembamba', 'hapa']","['sijali', 'kila', 'aina', 'ya', 'tambi', 'lakini', 'naipenda', 'mkono', 'uliotengenezewa', 'nyumbani', 'ulitengeneza', 'tambi', 'na', 'piza', 'nyembamba', 'hapa']"
2511,Ijaribuni mtafurahia kufanya hivyo,positive,"['ijaribuni', 'mtafurahia', 'kufanya', 'hivyo']","['ijaribuni', 'mtafurahia', 'kufanya', 'hivyo']"
2512,kwa mbali jibini bora zaidi ambazo tumepata kuwa nazo,positive,"['kwa', 'mbali', 'jibini', 'bora', 'zaidi', 'ambazo', 'tumepata', 'kuwa', 'nazo']","['kwa', 'mbali', 'jibini', 'bora', 'zaidi', 'ambazo', 'tumepata', 'kuwa', 'nazo']"
2513,Pia bei nafuu,positive,"['pia', 'bei', 'nafuu']","['pia', 'bei', 'nafuu']"
2514,kila kitu kilikamilika usiku tuliokuwa ndani,positive,"['kila', 'kitu', 'kilikamilika', 'usiku', 'tuliokuwa', 'ndani']","['kila', 'kitu', 'kilikamilika', 'usiku', 'tuliokuwa', 'ndani']"
2515,Chakula ni kizuri sana kwa chakula chako cha kawaida,positive,"['chakula', 'ni', 'kizuri', 'sana', 'kwa', 'chakula', 'chako', 'cha', 'kawaida']","['chakula', 'ni', 'kizuri', 'sana', 'kwa', 'chakula', 'chako', 'cha', 'kawaida']"
2516,Ilikuwa ni safari ya kufika huko,negative,"['ilikuwa', 'ni', 'safari', 'ya', 'kufika', 'huko']","['ilikuwa', 'ni', 'safari', 'ya', 'kufika', 'huko']"
2517,unapolitazama mara ya kwanza ni mkahawa maridadi wa kuokea mikate wenye kupendeza wasafisha wafanyakazi wenye urafiki,positive,"['unapolitazama', 'mara', 'ya', 'kwanza', 'ni', 'mkahawa', 'maridadi', 'wa', 'kuokea', 'mikate', 'wenye', 'kupendeza', 'wasafisha', 'wafanyakazi', 'wenye', 'urafiki']","['unapolitazama', 'mara', 'ya', 'kwanza', 'ni', 'mkahawa', 'maridadi', 'wa', 'kuokea', 'mikate', 'wenye', 'kupendeza', 'wasafisha', 'wafanyakazi', 'wenye', 'urafiki']"
2518,Hata hivyo sifikiri nitarudi huko,negative,"['hata', 'hivyo', 'sifikiri', 'nitarudi', 'huko']","['hata', 'hivyo', 'sifikiri', 'nitarudi', 'huko']"
2519,Elewa kidole chako kwenye kitu chochote kwenye orodha ya vyakula unavyotaka na kwa kawaida unakatishwa tamaa,positive,"['elewa', 'kidole', 'chako', 'kwenye', 'kitu', 'chochote', 'kwenye', 'orodha', 'ya', 'vyakula', 'unavyotaka', 'na', 'kwa', 'kawaida', 'unakatishwa', 'tamaa']","['elewa', 'kidole', 'chako', 'kwenye', 'kitu', 'chochote', 'kwenye', 'orodha', 'ya', 'vyakula', 'unavyotaka', 'na', 'kwa', 'kawaida', 'unakatishwa', 'tamaa']"
2520,Hili ni jambo zuri sana katika mkahawa huu,positive,"['hili', 'ni', 'jambo', 'zuri', 'sana', 'katika', 'mkahawa', 'huu']","['hili', 'ni', 'jambo', 'zuri', 'sana', 'katika', 'mkahawa', 'huu']"
2521,Kama mnataka hukumu basi hukumu imekwisha kujieni. Na mkiacha itakuwa ndio kheri kwenu.,positive,"['kama', 'mnataka', 'hukumu', 'basi', 'hukumu', 'imekwisha', 'kujieni', 'na', 'mkiacha', 'itakuwa', 'ndio', 'kheri', 'kwenu']","['kama', 'mnataka', 'hukumu', 'basi', 'hukumu', 'imekwisha', 'kujieni', 'na', 'mkiacha', 'itakuwa', 'ndio', 'kheri', 'kwenu']"
2522,Mlo wenye mafuta - mafuta,negative,"['mlo', 'wenye', 'mafuta', 'mafuta']","['mlo', 'wenye', 'mafuta', 'mafuta']"
2523,Mara ya kwanza na huenda ikawa ndiyo mara ya mwisho,negative,"['mara', 'ya', 'kwanza', 'na', 'huenda', 'ikawa', 'ndiyo', 'mara', 'ya', 'mwisho']","['mara', 'ya', 'kwanza', 'na', 'huenda', 'ikawa', 'ndiyo', 'mara', 'ya', 'mwisho']"
2524,Vifundo hivyo vilistaajabisha,positive,"['vifundo', 'hivyo', 'vilistaajabisha']","['vifundo', 'hivyo', 'vilistaajabisha']"
2525,Vivyo hivyo mtu aliyejifungua hakusema juu ya kuomba radhi wakati chakula chetu kilipochelewa kwa dakika 45,negative,"['vivyo', 'hivyo', 'mtu', 'aliyejifungua', 'hakusema', 'juu', 'ya', 'kuomba', 'radhi', 'wakati', 'chakula', 'chetu', 'kilipochelewa', 'kwa', 'dakika']","['vivyo', 'hivyo', 'mtu', 'aliyejifungua', 'hakusema', 'juu', 'ya', 'kuomba', 'radhi', 'wakati', 'chakula', 'chetu', 'kilipochelewa', 'kwa', 'dakika']"
2526,na ilikuwa njia ya kupata gharama kubwa,negative,"['na', 'ilikuwa', 'njia', 'ya', 'kupata', 'gharama', 'kubwa']","['na', 'ilikuwa', 'njia', 'ya', 'kupata', 'gharama', 'kubwa']"
2527,Hakikisha kwamba unaagiza kitindamlo hata ikiwa unahitaji kukipakia ili kisafirie tiramisu na cannoli vyote viwili vitakufa kwa ajili ya,positive,"['hakikisha', 'kwamba', 'unaagiza', 'kitindamlo', 'hata', 'ikiwa', 'unahitaji', 'kukipakia', 'ili', 'kisafirie', 'tiramisu', 'na', 'cannoli', 'vyote', 'viwili', 'vitakufa', 'kwa', 'ajili', 'ya']","['hakikisha', 'kwamba', 'unaagiza', 'kitindamlo', 'hata', 'ikiwa', 'unahitaji', 'kukipakia', 'ili', 'kisafirie', 'tiramisu', 'na', 'cannoli', 'vyote', 'viwili', 'vitakufa', 'kwa', 'ajili', 'ya']"
2528,Hii ilikuwa mara yangu ya kwanza na ninasubiri hadi wakati ujao,positive,"['hii', 'ilikuwa', 'mara', 'yangu', 'ya', 'kwanza', 'na', 'ninasubiri', 'hadi', 'wakati', 'ujao']","['hii', 'ilikuwa', 'mara', 'yangu', 'ya', 'kwanza', 'na', 'ninasubiri', 'hadi', 'wakati', 'ujao']"
2529,barbes alikuwa na sura nzuri pia,positive,"['barbes', 'alikuwa', 'na', 'sura', 'nzuri', 'pia']","['barbes', 'alikuwa', 'na', 'sura', 'nzuri', 'pia']"
2530,kila kitu kilikuwa chema na kitamu,positive,"['kila', 'kitu', 'kilikuwa', 'chema', 'na', 'kitamu']","['kila', 'kitu', 'kilikuwa', 'chema', 'na', 'kitamu']"
2531,Eneo hili lina kidole gumba viwili juu,positive,"['eneo', 'hili', 'lina', 'kidole', 'gumba', 'viwili', 'juu']","['eneo', 'hili', 'lina', 'kidole', 'gumba', 'viwili', 'juu']"
2532,mahali pazuri zaidi katika vega kwa ajili ya kiamsha - kinywa chunguza tu kikao au jua,positive,"['mahali', 'pazuri', 'zaidi', 'katika', 'vega', 'kwa', 'ajili', 'ya', 'kiamsha', 'kinywa', 'chunguza', 'tu', 'kikao', 'au', 'jua']","['mahali', 'pazuri', 'zaidi', 'katika', 'vega', 'kwa', 'ajili', 'ya', 'kiamsha', 'kinywa', 'chunguza', 'tu', 'kikao', 'au', 'jua']"
2533,Ikiwa unapenda chakula halisi cha mxican na wataka vikundi vizima vya nyama zenye kupendeza lakini zenye ladha tamu ili kuchagua kutoka kwako wahitaji kujaribu mahali hapa,positive,"['ikiwa', 'unapenda', 'chakula', 'halisi', 'cha', 'mxican', 'na', 'wataka', 'vikundi', 'vizima', 'vya', 'nyama', 'zenye', 'kupendeza', 'lakini', 'zenye', 'ladha', 'tamu', 'ili', 'kuchagua', 'kutoka', 'kwako', 'wahitaji', 'kujaribu', 'mahali', 'hapa']","['ikiwa', 'unapenda', 'chakula', 'halisi', 'cha', 'mxican', 'na', 'wataka', 'vikundi', 'vizima', 'vya', 'nyama', 'zenye', 'kupendeza', 'lakini', 'zenye', 'ladha', 'tamu', 'ili', 'kuchagua', 'kutoka', 'kwako', 'wahitaji', 'kujaribu', 'mahali', 'hapa']"
2534,Kusimamia mambo vibaya,negative,"['kusimamia', 'mambo', 'vibaya']","['kusimamia', 'mambo', 'vibaya']"
2535,mkahawa mpya ulio bora sana na karenchman mwenye uzoefu,positive,"['mkahawa', 'mpya', 'ulio', 'bora', 'sana', 'na', 'karenchman', 'mwenye', 'uzoefu']","['mkahawa', 'mpya', 'ulio', 'bora', 'sana', 'na', 'karenchman', 'mwenye', 'uzoefu']"
2536,Kama kungalikuwa na nyota za sufuri ingeipa nyota sufuri,negative,"['kama', 'kungalikuwa', 'na', 'nyota', 'za', 'sufuri', 'ingeipa', 'nyota', 'sufuri']","['kama', 'kungalikuwa', 'na', 'nyota', 'za', 'sufuri', 'ingeipa', 'nyota', 'sufuri']"
2537,milo mikubwa kandokando ya milo mikubwa ya divai yenye kustaajabisha,positive,"['milo', 'mikubwa', 'kandokando', 'ya', 'milo', 'mikubwa', 'ya', 'divai', 'yenye', 'kustaajabisha']","['milo', 'mikubwa', 'kandokando', 'ya', 'milo', 'mikubwa', 'ya', 'divai', 'yenye', 'kustaajabisha']"
2538,Hitini mbaya zaidi iliyowahi kutokea,negative,"['hitini', 'mbaya', 'zaidi', 'iliyowahi', 'kutokea']","['hitini', 'mbaya', 'zaidi', 'iliyowahi', 'kutokea']"
2539,nyama na uduvi ni bora zaidi katika umbo langu kwani kuna miti aina ya gc,positive,"['nyama', 'na', 'uduvi', 'ni', 'bora', 'zaidi', 'katika', 'umbo', 'langu', 'kwani', 'kuna', 'miti', 'aina', 'ya', 'gc']","['nyama', 'na', 'uduvi', 'ni', 'bora', 'zaidi', 'katika', 'umbo', 'langu', 'kwani', 'kuna', 'miti', 'aina', 'ya', 'gc']"
2540,Nilikuwa na fursa leo ya kuonja piza zako za ajabu,positive,"['nilikuwa', 'na', 'fursa', 'leo', 'ya', 'kuonja', 'piza', 'zako', 'za', 'ajabu']","['nilikuwa', 'na', 'fursa', 'leo', 'ya', 'kuonja', 'piza', 'zako', 'za', 'ajabu']"
2541,Tulingoja kwa dakika thelathini ili tuketi ingawa kulikuwa na meza 8 tupu na tulikuwa watu pekee waliokuwa wakingoja,negative,"['tulingoja', 'kwa', 'dakika', 'thelathini', 'ili', 'tuketi', 'ingawa', 'kulikuwa', 'na', 'meza', 'tupu', 'na', 'tulikuwa', 'watu', 'pekee', 'waliokuwa', 'wakingoja']","['tulingoja', 'kwa', 'dakika', 'thelathini', 'ili', 'tuketi', 'ingawa', 'kulikuwa', 'na', 'meza', 'tupu', 'na', 'tulikuwa', 'watu', 'pekee', 'waliokuwa', 'wakingoja']"
2542,caraccio ya manjano iliyeyuka mdomoni mwako ikiwa safi,positive,"['caraccio', 'ya', 'manjano', 'iliyeyuka', 'mdomoni', 'mwako', 'ikiwa', 'safi']","['caraccio', 'ya', 'manjano', 'iliyeyuka', 'mdomoni', 'mwako', 'ikiwa', 'safi']"
2543,Na inapo kuja nusura kutoka kwa Mola wako Mlezi husema: Hakika sisi tulikuwa pamoja nanyi.,negative,"['na', 'inapo', 'kuja', 'nusura', 'kutoka', 'kwa', 'mola', 'wako', 'mlezi', 'husema', 'hakika', 'sisi', 'tulikuwa', 'pamoja', 'nanyi']","['na', 'inapo', 'kuja', 'nusura', 'kutoka', 'kwa', 'mola', 'wako', 'mlezi', 'husema', 'hakika', 'sisi', 'tulikuwa', 'pamoja', 'nanyi']"
2544,Hawawezi kula viazi ambavyo mimi alipata ndani yake nywele ambazo hazikuliwa na watu wasiowajua,negative,"['hawawezi', 'kula', 'viazi', 'ambavyo', 'mimi', 'alipata', 'ndani', 'yake', 'nywele', 'ambazo', 'hazikuliwa', 'na', 'watu', 'wasiowajua']","['hawawezi', 'kula', 'viazi', 'ambavyo', 'mimi', 'alipata', 'ndani', 'yake', 'nywele', 'ambazo', 'hazikuliwa', 'na', 'watu', 'wasiowajua']"
2545,ni vikolezo tu vilivyotiwa vikolezo vya kutosha ambavyo kwa kweli ni vikamilifu,positive,"['ni', 'vikolezo', 'tu', 'vilivyotiwa', 'vikolezo', 'vya', 'kutosha', 'ambavyo', 'kwa', 'kweli', 'ni', 'vikamilifu']","['ni', 'vikolezo', 'tu', 'vilivyotiwa', 'vikolezo', 'vya', 'kutosha', 'ambavyo', 'kwa', 'kweli', 'ni', 'vikamilifu']"
2546,Usiku uliopita nilikula hapa mara ya pili na nilifurahi sana nikaamua kurudi,positive,"['usiku', 'uliopita', 'nilikula', 'hapa', 'mara', 'ya', 'pili', 'na', 'nilifurahi', 'sana', 'nikaamua', 'kurudi']","['usiku', 'uliopita', 'nilikula', 'hapa', 'mara', 'ya', 'pili', 'na', 'nilifurahi', 'sana', 'nikaamua', 'kurudi']"
2547,Wala sisi hatutaadhibiwa.,negative,"['wala', 'sisi', 'hatutaadhibiwa']","['wala', 'sisi', 'hatutaadhibiwa']"
2548,Kitindamlo kilikuwa cha ajabu kidogo,negative,"['kitindamlo', 'kilikuwa', 'cha', 'ajabu', 'kidogo']","['kitindamlo', 'kilikuwa', 'cha', 'ajabu', 'kidogo']"
2549,Rafiki yangu wa kiume na mimi tulikuja hapa kwa mara ya kwanza katika safari ya hivi karibuni ya kwenda vegas na hatungependezwa zaidi na ubora wa chakula na utumishi,positive,"['rafiki', 'yangu', 'wa', 'kiume', 'na', 'mimi', 'tulikuja', 'hapa', 'kwa', 'mara', 'ya', 'kwanza', 'katika', 'safari', 'ya', 'hivi', 'karibuni', 'ya', 'kwenda', 'vegas', 'na', 'hatungependezwa', 'zaidi', 'na', 'ubora', 'wa', 'chakula', 'na', 'utumishi']","['rafiki', 'yangu', 'wa', 'kiume', 'na', 'mimi', 'tulikuja', 'hapa', 'kwa', 'mara', 'ya', 'kwanza', 'katika', 'safari', 'ya', 'hivi', 'karibuni', 'ya', 'kwenda', 'vegas', 'na', 'hatungependezwa', 'zaidi', 'na', 'ubora', 'wa', 'chakula', 'na', 'utumishi']"
2550,Kwa kweli napendekeza mahali hapa uwezapo kwenda vibaya na mahali hapa pa kufanyia kazi,positive,"['kwa', 'kweli', 'napendekeza', 'mahali', 'hapa', 'uwezapo', 'kwenda', 'vibaya', 'na', 'mahali', 'hapa', 'pa', 'kufanyia', 'kazi']","['kwa', 'kweli', 'napendekeza', 'mahali', 'hapa', 'uwezapo', 'kwenda', 'vibaya', 'na', 'mahali', 'hapa', 'pa', 'kufanyia', 'kazi']"
2551,Mandhari nzuri,positive,"['mandhari', 'nzuri']","['mandhari', 'nzuri']"
2552,Ningependekeza chumba cha kuweka akiba kwa ajili ya hili,positive,"['ningependekeza', 'chumba', 'cha', 'kuweka', 'akiba', 'kwa', 'ajili', 'ya', 'hili']","['ningependekeza', 'chumba', 'cha', 'kuweka', 'akiba', 'kwa', 'ajili', 'ya', 'hili']"
2553,"Nadhani tulikwenda usiku, lakini kufanya hivyo kulikuwa jambo la aibu",negative,"['nadhani', 'tulikwenda', 'usiku', 'lakini', 'kufanya', 'hivyo', 'kulikuwa', 'jambo', 'la', 'aibu']","['nadhani', 'tulikwenda', 'usiku', 'lakini', 'kufanya', 'hivyo', 'kulikuwa', 'jambo', 'la', 'aibu']"
2554,Hata hivyo ono langu la hivi karibuni katika eneo hili hususa halikuwa zuri sana,negative,"['hata', 'hivyo', 'ono', 'langu', 'la', 'hivi', 'karibuni', 'katika', 'eneo', 'hili', 'hususa', 'halikuwa', 'zuri', 'sana']","['hata', 'hivyo', 'ono', 'langu', 'la', 'hivi', 'karibuni', 'katika', 'eneo', 'hili', 'hususa', 'halikuwa', 'zuri', 'sana']"
2555,Najua hii si kama ile mikahawa mingine hata kidogo ambayo iko mbali sana hapa,negative,"['najua', 'hii', 'si', 'kama', 'ile', 'mikahawa', 'mingine', 'hata', 'kidogo', 'ambayo', 'iko', 'mbali', 'sana', 'hapa']","['najua', 'hii', 'si', 'kama', 'ile', 'mikahawa', 'mingine', 'hata', 'kidogo', 'ambayo', 'iko', 'mbali', 'sana', 'hapa']"
2556,Na yaliyo machafu yahame!,negative,"['na', 'yaliyo', 'machafu', 'yahame']","['na', 'yaliyo', 'machafu', 'yahame']"
2557,Nafikiri mkahawa huu unasumbuliwa na kutokujaribu sana vya kutosha,negative,"['nafikiri', 'mkahawa', 'huu', 'unasumbuliwa', 'na', 'kutokujaribu', 'sana', 'vya', 'kutosha']","['nafikiri', 'mkahawa', 'huu', 'unasumbuliwa', 'na', 'kutokujaribu', 'sana', 'vya', 'kutosha']"
2558,Vyakula vyote vya tapa vilikuwa vitamu,positive,"['vyakula', 'vyote', 'vya', 'tapa', 'vilikuwa', 'vitamu']","['vyakula', 'vyote', 'vya', 'tapa', 'vilikuwa', 'vitamu']"
2559,Nipe moyo eneo hili,positive,"['nipe', 'moyo', 'eneo', 'hili']","['nipe', 'moyo', 'eneo', 'hili']"
2560,saladi yangu ilikuwa na kigingi kwenye mboga za kijani - kibichi na mioyo ya michikichi,negative,"['saladi', 'yangu', 'ilikuwa', 'na', 'kigingi', 'kwenye', 'mboga', 'za', 'kijani', 'kibichi', 'na', 'mioyo', 'ya', 'michikichi']","['saladi', 'yangu', 'ilikuwa', 'na', 'kigingi', 'kwenye', 'mboga', 'za', 'kijani', 'kibichi', 'na', 'mioyo', 'ya', 'michikichi']"
2561,Baada ya muda wa miaka miwili nilijihisi kuwa mwenye kuchukiza sana,negative,"['baada', 'ya', 'muda', 'wa', 'miaka', 'miwili', 'nilijihisi', 'kuwa', 'mwenye', 'kuchukiza', 'sana']","['baada', 'ya', 'muda', 'wa', 'miaka', 'miwili', 'nilijihisi', 'kuwa', 'mwenye', 'kuchukiza', 'sana']"
2562,raha,positive,['raha'],['raha']
2563,Ninaamini kwamba sehemu hii ni kituo kikubwa kwa wale wenye tumbo kubwa na wanaoshindania sushi,positive,"['ninaamini', 'kwamba', 'sehemu', 'hii', 'ni', 'kituo', 'kikubwa', 'kwa', 'wale', 'wenye', 'tumbo', 'kubwa', 'na', 'wanaoshindania', 'sushi']","['ninaamini', 'kwamba', 'sehemu', 'hii', 'ni', 'kituo', 'kikubwa', 'kwa', 'wale', 'wenye', 'tumbo', 'kubwa', 'na', 'wanaoshindania', 'sushi']"
2564,Kiasi cha ukarimu na ladha kubwa,positive,"['kiasi', 'cha', 'ukarimu', 'na', 'ladha', 'kubwa']","['kiasi', 'cha', 'ukarimu', 'na', 'ladha', 'kubwa']"
2565,Sitarudi kamwe mahali hapa wala sitapendekeza kamwe mahali hapa kwa mtu yeyote,negative,"['sitarudi', 'kamwe', 'mahali', 'hapa', 'wala', 'sitapendekeza', 'kamwe', 'mahali', 'hapa', 'kwa', 'mtu', 'yeyote']","['sitarudi', 'kamwe', 'mahali', 'hapa', 'wala', 'sitapendekeza', 'kamwe', 'mahali', 'hapa', 'kwa', 'mtu', 'yeyote']"
2566,Hawawi sawa miongoni mwenu wenye kutoa kabla ya Ushindi na wakapigana vita.,negative,"['hawawi', 'sawa', 'miongoni', 'mwenu', 'wenye', 'kutoa', 'kabla', 'ya', 'ushindi', 'na', 'wakapigana', 'vita']","['hawawi', 'sawa', 'miongoni', 'mwenu', 'wenye', 'kutoa', 'kabla', 'ya', 'ushindi', 'na', 'wakapigana', 'vita']"
2567,Chakula kilikuwa kitamu,positive,"['chakula', 'kilikuwa', 'kitamu']","['chakula', 'kilikuwa', 'kitamu']"
2568,Saa kwa Uzito,negative,"['saa', 'kwa', 'uzito']","['yangu', 'kwa', 'uzito']"
2569,Ninafikiria wizi huu,negative,"['ninafikiria', 'wizi', 'huu']","['ninafikiria', 'wizi', 'huu']"
2570,Andika mahali hapa pahitaji kitu kamili cha kufunika uso,negative,"['andika', 'mahali', 'hapa', 'pahitaji', 'kitu', 'kamili', 'cha', 'kufunika', 'uso']","['andika', 'mahali', 'hapa', 'pahitaji', 'kitu', 'kamili', 'cha', 'kufunika', 'uso']"
2571,Hivi karibuni tulishuhudia mwenendo wake mbaya kuelekea wageni wengine,negative,"['hivi', 'karibuni', 'tulishuhudia', 'mwenendo', 'wake', 'mbaya', 'kuelekea', 'wageni', 'wengine']","['hivi', 'karibuni', 'tulishuhudia', 'mwenendo', 'wake', 'mbaya', 'kuelekea', 'wageni', 'wengine']"
2572,alingoja na kungoja,negative,"['alingoja', 'na', 'kungoja']","['alingoja', 'na', 'kungoja']"
2573,Pia alirudi kutuchunguza kwa ukawaida tukiwa watumishi bora,positive,"['pia', 'alirudi', 'kutuchunguza', 'kwa', 'ukawaida', 'tukiwa', 'watumishi', 'bora']","['pia', 'alirudi', 'kutuchunguza', 'kwa', 'ukawaida', 'tukiwa', 'watumishi', 'bora']"
2574,Mlinzi wetu alikuwa mzuri sana na alituchunguza mara nyingi,positive,"['mlinzi', 'wetu', 'alikuwa', 'mzuri', 'sana', 'na', 'alituchunguza', 'mara', 'nyingi']","['mlinzi', 'wetu', 'alikuwa', 'mzuri', 'sana', 'na', 'alituchunguza', 'mara', 'nyingi']"
2575,piza ilikuwa na ladha ya vitafunio vya zamani visivyopendeza,negative,"['piza', 'ilikuwa', 'na', 'ladha', 'ya', 'vitafunio', 'vya', 'zamani', 'visivyopendeza']","['piza', 'ilikuwa', 'na', 'ladha', 'ya', 'vitafunio', 'vya', 'zamani', 'visivyopendeza']"
2576,Kisha nikaelekea upande mmoja ili kuwajaribu lakini akavunjika moyo sana,negative,"['kisha', 'nikaelekea', 'upande', 'mmoja', 'ili', 'kuwajaribu', 'lakini', 'akavunjika', 'moyo', 'sana']","['kisha', 'nikaelekea', 'upande', 'mmoja', 'ili', 'kuwajaribu', 'lakini', 'akavunjika', 'moyo', 'sana']"
2577,Utumishi ulikuwa mzuri na kampuni ilikuwa nzuri zaidi,positive,"['utumishi', 'ulikuwa', 'mzuri', 'na', 'kampuni', 'ilikuwa', 'nzuri', 'zaidi']","['utumishi', 'ulikuwa', 'mzuri', 'na', 'kampuni', 'ilikuwa', 'nzuri', 'zaidi']"
2578,Wafanyakazi pia ni wenye urafiki sana na wenye matokeo mazuri,positive,"['wafanyakazi', 'pia', 'ni', 'wenye', 'urafiki', 'sana', 'na', 'wenye', 'matokeo', 'mazuri']","['wafanyakazi', 'pia', 'ni', 'wenye', 'urafiki', 'sana', 'na', 'wenye', 'matokeo', 'mazuri']"
